kata_turunan,kata_dasar
berjalan,jalan
berlari,lari
membaca,baca
memasak,masak
bernyanyi,nyanyi
bermain,main
belajar,belajar
menggambar,gambar
menulis,tulis
mengedit,edit
mengemudi,emudi
berbicara,bicara
memperbaiki,perbaiki
mendengarkan,dengar
menonton,tonton
menghitung,hitung
berkeliling,keliling
memotret,potret
berenang,renang
berdiri,diri
membantu,bantu
mengajar,ajar
membeli,beli
mengatur,atur
menggunakan,gunakan
mengelola,elola
mendesain,desain
memiliki,miliki
menyanyikan,nyanyi
menari,nari
berbincang,bincang
berdiskusi,diskusi
mengangkat,angkat
mengangkut,angkut
menggali,gali
menggantikan,ganti
menggeser,geser
menggoyangkan,goyang
menghalangi,halang
menghindari,hindar
mengikuti,ikuti
mengirim,kirim
mengubah,ubah
menyimpan,simpan
menyulut,sulut
menyumbang,sumbang
mengisi,isi
mengutuk,utuk
mengelilingi,eliling
memperoleh,peroleh
memproses,proses
mengundang,undang
menyelamatkan,selamat
menyulap,sulap
memotong,potong
membubarkan,bubar
membuktikan,bukti
mendukung,dukung
menjaga,jaga
menyimpanyimpan,simpan
mendengar,dengar
menikmati,nikmat
memanggang,panggang
mengaturatur
melakukan,melakukannya
mengorganisasi,organisasi
mengevaluasi,evaluasi
menyaring,saring
memproklamirkan,proklamir
menyelaraskan,selaras
menyusun,susun
memasuki,masuk
mengasumsikan,asumsi
mengidentifikasi,identifikasi
menganalisis,analisis
mengkaji,kaji
menyusun,susun
menyunting,sunting
mencatat,catat
menguraikan,uraikan
menafsirkan,terprestasi
membandingkan,banding
menjelaskan,jelas
memperbaiki,baik
membatalkan,batalkan
memeriksa,periksa
memeriksa,periksa
memutuskan,putus
menyarankan,saran
menolak,tolak
menghargai,harga
menghukum,hukum
memiliki,miliki
mengejar,kejar
menghormati,hormat
menghibur,hibur
menghentikan,henti
menghancurkan,hancur
mengumpulkan,kumpul
menyulut,sulut
menggabungkan,gabung
menghalangi,halang
mengenalkan,kenal
menyapa,sapa
mengejutkan,jut
mengundang,undang
mengelak,elak
mengatasi,atas
menghadapi,hadap
mengatur,atur
menghibur,hibur
menghukum,hukum
mengisi,isi
mengajukan,ajuk
menyambut,sambut
mengalihkan,alih
menjelajah,jelajah
mengalihkan,alih
menggugurkan,gugur
mengikat,ikat
memelihara,lindung
menyesuaikan,suaikan
memperbarui,baru
mengusir,usir
mengungkap,ungkap
menghancurkan,hancur
membelok,belok
mengirimkan,kirim
membiasakan,biasa
memandu,mandu
memisahkan,pisah
mempersiapkan,siap
menggulingkan,guling
mengarang,arang
menggertak,gertak
memerintahkan,perintah
menciptakan,cip
mengkhianati,khianat
menyangkal,nyal
memeriksa,periksa
mengadopsi,adopsi
mengembangkan,kembang
menghormati,hormat
menyapa,sapa
memanfaatkan,manfaat
mengikuti,ikuti
memperbarui,baru
memproklamirkan,proklamir
memahami,paham
memanfaatkan,manfaat
menggiring,giring
menyiksa,siksa
memperkenalkan,kenal
mengisolasi,isolasi
mencatat,catat
mengekspos,eksp
memenjarakan,penjara
memilih,pilih
menakut-nakuti,takut
mengobati,obat
menggambar,gambar
mengisi,isi
mengenalkan,kenal
menyambut,sambut
mengabaikan,abaikan
mengklarifikasi,klarifikasi
mengabaikan,abaikan
memanfaatkan,manfaat
mengumumkan,umum
menyalin,salin
menghadiri,hadir
membayar,bayar
mencatat,catat
mengundang,undang
menghadiri,hadir
menyambut,sambut
menghadapi,hadap
mengakui,akui
mencapai,capai
menyesuaikan,suaikan
memandang,dang
mengaku,aku
menyadari,adari
mengenang,enang
memahami,paham